asset_id,entry_id,collection_id,series,title,source_type,source_ref,cover_path,resolved_image_url,download_status,notes
FCA103,CVM001,castlevania_master,Castlevania,Castlevania,wikipedia_summary,Castlevania (1986 video game),/covers/castlevania/CVM001.png,https://upload.wikimedia.org/wikipedia/en/5/51/Castlevania_1_cover.png,downloaded,Primary article cover.
FCA104,CVM002,castlevania_master,Castlevania,Vampire Killer,wikipedia_summary,Vampire Killer,/covers/castlevania/CVM002.jpg,https://upload.wikimedia.org/wikipedia/en/6/67/Vampire_Killer_MSX.jpg,downloaded,Primary article cover.
FCA105,CVM003,castlevania_master,Castlevania,Castlevania II: Simon's Quest,wikipedia_summary,Castlevania II: Simon's Quest,/covers/castlevania/CVM003.png,https://upload.wikimedia.org/wikipedia/en/3/36/Castlevania_2_cover.png,downloaded,Primary article cover.
FCA106,CVM004,castlevania_master,Castlevania,Haunted Castle,wikipedia_summary,Haunted Castle (video game),/covers/castlevania/CVM004.jpg,https://upload.wikimedia.org/wikipedia/en/e/e0/Haunted_Castle_flyer.jpg,downloaded,Primary article flyer.
FCA107,CVM005,castlevania_master,Castlevania,Castlevania: The Adventure,wikipedia_summary,Castlevania: The Adventure,/covers/castlevania/CVM005.jpg,https://upload.wikimedia.org/wikipedia/en/a/ad/Castlevania_Adventureboxing.jpg,downloaded,Primary article cover.
FCA108,CVM006,castlevania_master,Castlevania,Castlevania III: Dracula's Curse,wikipedia_summary,Castlevania III: Dracula's Curse,/covers/castlevania/CVM006.jpg,https://upload.wikimedia.org/wikipedia/en/9/95/Castlevania_III_Dracula%27s_Curse.jpg,downloaded,Primary article cover.
FCA109,CVM007,castlevania_master,Castlevania,Kid Dracula,wikipedia_summary,Kid Dracula (1993 video game),/covers/castlevania/CVM007.jpg,https://upload.wikimedia.org/wikipedia/en/7/70/Kid_Dracula_%28cover%29.jpg,downloaded,Shared with Game Boy article as closest dedicated product art.
FCA110,CVM008,castlevania_master,Castlevania,Castlevania II: Belmont's Revenge,wikipedia_summary,Castlevania II: Belmont's Revenge,/covers/castlevania/CVM008.jpg,https://upload.wikimedia.org/wikipedia/en/7/76/Castlevania_II_Belmont%27s_Revenge.jpg,downloaded,Primary article cover.
FCA111,CVM009,castlevania_master,Castlevania,Super Castlevania IV,wikipedia_summary,Super Castlevania IV,/covers/castlevania/CVM009.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Super_Castlevania_IV_North_American_SNES_box_art.png/330px-Super_Castlevania_IV_North_American_SNES_box_art.png,downloaded,Primary article cover.
FCA112,CVM010,castlevania_master,Castlevania,Akumajo Dracula (X68000),wikipedia_summary,Castlevania Chronicles,/covers/castlevania/CVM010.jpg,https://upload.wikimedia.org/wikipedia/en/0/09/Castlevania_chronicles_na.jpg,downloaded,Shared with remaster article for the same game lineage.
FCA113,CVM011,castlevania_master,Castlevania,Castlevania: Rondo of Blood,wikipedia_summary,Castlevania: Rondo of Blood,/covers/castlevania/CVM011.jpg,https://upload.wikimedia.org/wikipedia/en/2/2e/Dracula_x_%28j%29_front.jpg,downloaded,Primary article cover.
FCA114,CVM012,castlevania_master,Castlevania,Kid Dracula (Game Boy),wikipedia_summary,Kid Dracula (1993 video game),/covers/castlevania/CVM012.jpg,https://upload.wikimedia.org/wikipedia/en/7/70/Kid_Dracula_%28cover%29.jpg,downloaded,Primary article cover.
FCA115,CVM013,castlevania_master,Castlevania,Castlevania: Bloodlines,wikipedia_summary,Castlevania: Bloodlines,/covers/castlevania/CVM013.jpg,https://upload.wikimedia.org/wikipedia/en/a/af/Castlevania_Bloodlines.jpg,downloaded,Primary article cover.
FCA116,CVM014,castlevania_master,Castlevania,Castlevania: Dracula X,wikipedia_summary,Castlevania: Dracula X,/covers/castlevania/CVM014.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Castlevania_Dracula_X_cover_art.png/330px-Castlevania_Dracula_X_cover_art.png,downloaded,Primary article cover.
FCA117,CVM015,castlevania_master,Castlevania,Castlevania: Symphony of the Night,wikipedia_summary,Castlevania: Symphony of the Night,/covers/castlevania/CVM015.jpg,https://upload.wikimedia.org/wikipedia/en/c/cf/Castlevania_SOTN_PAL.jpg,downloaded,Primary article cover.
FCA118,CVM016,castlevania_master,Castlevania,Castlevania Legends,wikipedia_summary,Castlevania Legends,/covers/castlevania/CVM016.jpg,https://upload.wikimedia.org/wikipedia/en/2/28/Castlevania_Legends.jpg,downloaded,Primary article cover.
FCA119,CVM017,castlevania_master,Castlevania,Castlevania (Nintendo 64),wikipedia_summary,Castlevania (Nintendo 64),/covers/castlevania/CVM017.jpg,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Castlevania_%28Nintendo_64%29.jpg/330px-Castlevania_%28Nintendo_64%29.jpg,downloaded,Primary article cover.
FCA120,CVM018,castlevania_master,Castlevania,Castlevania: Legacy of Darkness,wikipedia_summary,Castlevania: Legacy of Darkness,/covers/castlevania/CVM018.jpg,https://upload.wikimedia.org/wikipedia/en/3/37/Castlevania_Legacy_of_Darkness.jpg,downloaded,Primary article cover.
FCA121,CVM019,castlevania_master,Castlevania,Castlevania: Circle of the Moon,game_cover_sync,game:castlevania_circle_of_the_moon,/covers/games/castlevania_circle_of_the_moon.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL1E5anU3NC9mMDE1N2JkOS00MzM1LTQwMGEtOTlhYy1hYzU1MzNlNmFjY2UucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Synced from mapped game cover castlevania_circle_of_the_moon (ggapp_export; https://ggapp.io/games/Q9ju74/castlevania-circle-of-the-moon).
FCA122,CVM020,castlevania_master,Castlevania,Castlevania Chronicles,wikipedia_summary,Castlevania Chronicles,/covers/castlevania/CVM020.jpg,https://upload.wikimedia.org/wikipedia/en/0/09/Castlevania_chronicles_na.jpg,downloaded,Primary article cover.
FCA123,CVM021,castlevania_master,Castlevania,Castlevania: Harmony of Dissonance,game_cover_sync,game:castlevania_harmony_of_dissonance,/covers/games/castlevania_harmony_of_dissonance.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL1AybDBjWS8xZjVjYzJjOS1kMTFmLTQzYjUtOGNkMS1kZmQ5M2M4MmVjODcucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Synced from mapped game cover castlevania_harmony_of_dissonance (ggapp_export; https://ggapp.io/games/P2l0cY/castlevania-harmony-of-dissonance).
