asset_id,game_id,title,source_type,source_ref,cover_path,resolved_image_url,download_status,notes
GCA071,thirteen_sentinels_aegis_rim,13 Sentinels: Aegis Rim,ggapp_export,https://ggapp.io/games/qV6jpW/13-sentinels-aegis-rim,/covers/games/thirteen_sentinels_aegis_rim.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL3FWNmpwVy9mODU1NWFhMy00NGQyLTQzMGYtODNkZC04MjUxMDNmYWQ3NzcucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Replaced from raw-data-images.rtf export (https://ggapp.io/games/qV6jpW/13-sentinels-aegis-rim).
GCA191,shibuya_scramble_428,428: Shibuya Scramble,wikipedia_search,,/covers/games/shibuya_scramble_428.png,,downloaded,Auto-generated game cover row.
GCA126,zero_escape_999,"999: Nine Hours, Nine Persons, Nine Doors",wikipedia_search,,/covers/games/zero_escape_999.jpg,,downloaded,Auto-generated game cover row.
GCA232,a_plague_tale_innocence,A Plague Tale: Innocence,ggapp_export,https://ggapp.io/games/MxSX5e/a-plague-tale-innocence,/covers/games/a_plague_tale_innocence.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL014U1g1ZS9mNDA5NWQyNS05Mjc0LTRhMzAtOTc1OC1jNjE1NWNkYWFmNjMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Replaced from raw-data-images.rtf export (https://ggapp.io/games/MxSX5e/a-plague-tale-innocence).
GCA217,a_plague_tale_requiem,A Plague Tale: Requiem,ggapp_export,https://ggapp.io/games/tjLPw1/a-plague-tale-requiem,/covers/games/a_plague_tale_requiem.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL3RqTFB3MS83NjUwZjBlYS1lZmU2LTQyOTEtYjljNC01MjlmODEzYWFlN2QuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Replaced from raw-data-images.rtf export (https://ggapp.io/games/tjLPw1/a-plague-tale-requiem).
GCA084,advance_wars_1_and_2,Advance Wars 1 and 2,wikipedia_search,,/covers/games/advance_wars_1_and_2.jpg,,downloaded,Auto-generated game cover row.
GCA286,advance_wars_1_2_re_boot_camp,Advance Wars: 1+2 Re-Boot Camp,ggapp_export,https://ggapp.io/games/6Ugtez/advance-wars-1-2-re-boot-camp,/covers/games/advance_wars_1_2_re_boot_camp.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzLzZVZ3Rlei9hNzhkYjMyZi05YzNjLTRjY2EtODBjNC0zNWE2OWE1NzU4YTUucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Imported new game and cover from GG App export (https://ggapp.io/games/6Ugtez/advance-wars-1-2-re-boot-camp).
GCA190,ai_the_somnium_files_nirvana_initiative,AI: The Somnium Files - nirvanA Initiative,wikipedia_search,,/covers/games/ai_the_somnium_files_nirvana_initiative.png,,downloaded,Auto-generated game cover row.
GCA110,alan_wake_2,Alan Wake 2,wikipedia_search,,/covers/games/alan_wake_2.jpg,,downloaded,Auto-generated game cover row.
GCA321,alan_wake_s_american_nightmare,Alan Wake's American Nightmare,ggapp_export,https://ggapp.io/games/OS5N7e/alan-wakes-american-nightmare,/covers/games/alan_wake_s_american_nightmare.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL09TNU43ZS81MTRjODE3ZC1hZGVjLTRhYzUtOWQzYi04ZjcyZTk2ZTFhNWMuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Imported new game and cover from GG App export (https://ggapp.io/games/OS5N7e/alan-wakes-american-nightmare).
GCA210,alien_isolation,Alien: Isolation,wikipedia_search,,/covers/games/alien_isolation.jpg,,downloaded,Auto-generated game cover row.
GCA318,assassin_s_creed_origins,Assassin's Creed® Origins,ggapp_export,https://ggapp.io/games/0OFLRX/assassins-creed-r-origins,/covers/games/assassin_s_creed_origins.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzLzBPRkxSWC8wYzZmYTRmYi0yZWMxLTRiZDEtOTk4MC1lODgwNjVkZTFkMTEucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Imported new game and cover from GG App export (https://ggapp.io/games/0OFLRX/assassins-creed-r-origins).
GCA085,astral_chain,Astral Chain,ggapp_export,https://ggapp.io/games/UjgKhe/astral-chain,/covers/games/astral_chain.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL1VqZ0toZS8zYTUyMmY2NC01MDU3LTRiMmMtOTc2NC1mMzg3YTQwYzk1MzQucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Replaced from raw-data-images.rtf export (https://ggapp.io/games/UjgKhe/astral-chain).
GCA320,astria_ascending,Astria Ascending,ggapp_export,https://ggapp.io/games/Gzeof5/astria-ascending,/covers/games/astria_ascending.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL0d6ZW9mNS9hODY0NDc4Ni05MzQxLTQ5ODAtODVkOC1mNGQyODRkNTE1YjkuanBnIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Imported new game and cover from GG App export (https://ggapp.io/games/Gzeof5/astria-ascending).
GCA198,axiom_verge,Axiom Verge,wikipedia_search,,/covers/games/axiom_verge.png,,downloaded,Auto-generated game cover row.
GCA199,axiom_verge_2,Axiom Verge 2,wikipedia_search,,/covers/games/axiom_verge_2.jpg,,downloaded,Auto-generated game cover row.
GCA163,balatro,Balatro,wikipedia_search,,/covers/games/balatro.jpg,,downloaded,Auto-generated game cover row.
GCA168,bastion,Bastion,,,,,,Auto-generated game cover row.
GCA083,baten_kaitos_i_and_ii,Baten Kaitos I and II,ggapp_export,https://ggapp.io/games/TSbkOS/baten-kaitos-i-ii-hd-remaster,/covers/games/baten_kaitos_i_and_ii.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL1RTYmtPUy8xNjU3MTUzMi04NjlkLTRkZjUtYmQxNi1hNTA5MGIxYTliOTYuanBlZyIsImVkaXRzIjp7InRvRm9ybWF0IjoianBnIiwianBlZyI6eyJxdWFsaXR5Ijo4MCwiY2hyb21hU3Vic2FtcGxpbmciOiI0OjQ6NCJ9LCJyZXNpemUiOnsid2lkdGgiOjMxNiwiaGVpZ2h0Ijo0NzR9fX0=,downloaded,Matched from GG App export by alias title reference (https://ggapp.io/games/TSbkOS/baten-kaitos-i-ii-hd-remaster).
GCA291,baten_kaitos_origins,Baten Kaitos Origins,ggapp_export,https://ggapp.io/games/0F2UQI/baten-kaitos-origins,/covers/games/baten_kaitos_origins.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzLzBGMlVRSS84YjM1YWYwNy04YWM1LTRlN2ItYTYxYy1mOTRlNzU1NzVmYmQucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Imported new game and cover from GG App export (https://ggapp.io/games/0F2UQI/baten-kaitos-origins).
GCA292,baten_kaitos_eternal_wings_and_the_lost_ocean,Baten Kaitos: Eternal Wings and the Lost Ocean,ggapp_export,https://ggapp.io/games/jGP7s5/baten-kaitos-eternal-wings-and-the-lost-ocean,/covers/games/baten_kaitos_eternal_wings_and_the_lost_ocean.jpg,https://d2d2z3qzqjizpf.cloudfront.net/eyJidWNrZXQiOiJnZ2FwcCIsImtleSI6Im1lZGlhL2dhbWVzL2pHUDdzNS8xMmQyMGI4OS1iZTVlLTRmYjEtYmM4Ny1jMGM0YmNhMzExZDUucG5nIiwiZWRpdHMiOnsidG9Gb3JtYXQiOiJqcGciLCJqcGVnIjp7InF1YWxpdHkiOjgwLCJjaHJvbWFTdWJzYW1wbGluZyI6IjQ6NDo0In0sInJlc2l6ZSI6eyJ3aWR0aCI6MzE2LCJoZWlnaHQiOjQ3NH19fQ==,downloaded,Imported new game and cover from GG App export (https://ggapp.io/games/jGP7s5/baten-kaitos-eternal-wings-and-the-lost-ocean).
