game_id,title,aliases,series,release_year,release_state,primary_genre,platforms,source_type,source_id,cover_url,notes
steam_514900_observer,>observer_,,,2017,released,adventure,PC,steamdb,steam:514900,https://steamcdn-a.akamaihd.net/steam/apps/514900/header.jpg,Publisher: Aspyr | Tags: Cyberpunk; Horror; Psychological Horror; Atmospheric
steam_282800_100_orange_juice,100% Orange Juice,,,2014,released,indie,PC,steamdb,steam:282800,https://steamcdn-a.akamaihd.net/steam/apps/282800/header.jpg,Publisher: Fruitbat Factory | Tags: Anime; Board Game; Cute; Multiplayer
steam_410110_12_is_better_than_6,12 is Better Than 6,,,2015,released,action,PC,steamdb,steam:410110,https://steamcdn-a.akamaihd.net/steam/apps/410110/header.jpg,Publisher: HypeTrain Digital | Tags: Action; Shooter; Singleplayer; Indie
steam_360640_12_labours_of_hercules_ii_the_cretan_bull,12 Labours of Hercules II: The Cretan Bull,,,2015,released,casual,PC,steamdb,steam:360640,https://steamcdn-a.akamaihd.net/steam/apps/360640/header.jpg,Publisher: Jetdogs Studios | Tags: Casual; Strategy; Time Management; Singleplayer
steam_322110_20xx,20XX,,,2017,released,action,PC,steamdb,steam:322110,https://steamcdn-a.akamaihd.net/steam/apps/322110/header.jpg,Publisher: Batterystaple Games | Tags: Platformer; Action; Indie; Rogue-like
steam_368360_60_seconds,60 Seconds!,,,2015,released,adventure,PC,steamdb,steam:368360,https://steamcdn-a.akamaihd.net/steam/apps/368360/header.jpg,Publisher: Robot Gentleman | Tags: Survival; Post-apocalyptic; Singleplayer; Strategy
steam_251570_7_days_to_die,7 Days to Die,,,2013,released,action,PC,steamdb,steam:251570,https://steamcdn-a.akamaihd.net/steam/apps/251570/header.jpg,Publisher: The Fun Pimps Entertainment LLC | Tags: Early Access; Survival; Zombies; Open World
steam_296910_8bitboytm,8BitBoy™,,,2014,released,action,PC,steamdb,steam:296910,https://steamcdn-a.akamaihd.net/steam/apps/296910/header.jpg,Publisher: AwesomeBlade | Tags: Platformer; Indie; Action; Casual
steam_250420_8bitmmo,8BitMMO,,,2015,released,action,PC,steamdb,steam:250420,https://steamcdn-a.akamaihd.net/steam/apps/250420/header.jpg,Publisher: Archive Entertainment | Tags: Free to Play; Massively Multiplayer; Sandbox; Pixel Graphics
steam_503560_911_operator,911 Operator,,,2017,released,casual,PC,steamdb,steam:503560,https://steamcdn-a.akamaihd.net/steam/apps/503560/header.jpg,"Publisher: Games Operators, PlayWay S.A. | Tags: Simulation; Strategy; Management; Casual"
steam_327410_a_bird_story,A Bird Story,,,2014,released,adventure,PC,steamdb,steam:327410,https://steamcdn-a.akamaihd.net/steam/apps/327410/header.jpg,Publisher: Freebird Games | Tags: Indie; Story Rich; Great Soundtrack; Short
steam_977950_a_dance_of_fire_and_ice,A Dance of Fire and Ice,,,2019,released,indie,PC,steamdb,steam:977950,https://steamcdn-a.akamaihd.net/steam/apps/977950/header.jpg,"Publisher: 7th Beat Games, indienova"
steam_503820_a_detective_s_novel,A Detective's Novel,,,2016,released,adventure,PC,steamdb,steam:503820,https://steamcdn-a.akamaihd.net/steam/apps/503820/header.jpg,Publisher: Amaterasu Software | Tags: Indie; Adventure; Visual Novel; Detective
steam_253230_a_hat_in_time,A Hat in Time,,,2017,released,adventure,PC,steamdb,steam:253230,https://steamcdn-a.akamaihd.net/steam/apps/253230/header.jpg,Publisher: Gears for Breakfast | Tags: 3D Platformer; Cute; Great Soundtrack; Indie
steam_105000_a_new_beginning_final_cut,A New Beginning - Final Cut,,,2012,released,adventure,PC,steamdb,steam:105000,https://steamcdn-a.akamaihd.net/steam/apps/105000/header.jpg,Publisher: Daedalic Entertainment | Tags: Adventure; Point & Click; Indie; Sci-fi
steam_278360_a_story_about_my_uncle,A Story About My Uncle,,,2014,released,adventure,PC,steamdb,steam:278360,https://steamcdn-a.akamaihd.net/steam/apps/278360/header.jpg,Publisher: Coffee Stain Publishing | Tags: Adventure; First-Person; Parkour; Platformer
steam_222640_aarklash_legacy,Aarklash: Legacy,,,2013,released,adventure,PC,steamdb,steam:222640,https://steamcdn-a.akamaihd.net/steam/apps/222640/header.jpg,Publisher: Bigben Interactive | Tags: RPG; Strategy; Tactical; Fantasy
steam_473690_absolver,Absolver,,,2017,released,action,PC,steamdb,steam:473690,https://steamcdn-a.akamaihd.net/steam/apps/473690/header.jpg,Publisher: Devolver Digital | Tags: Fighting; Action; Martial Arts; Multiplayer
steam_255070_abyss_odyssey,Abyss Odyssey,,,2014,released,action,PC,steamdb,steam:255070,https://steamcdn-a.akamaihd.net/steam/apps/255070/header.jpg,Publisher: SEGA | Tags: Action; Platformer; Indie; Side Scroller
steam_384190_abzu,ABZU,,,2016,released,action,PC,steamdb,steam:384190,https://steamcdn-a.akamaihd.net/steam/apps/384190/header.jpg,Publisher: 505 Games | Tags: Relaxing; Atmospheric; Underwater; Exploration
steam_518580_accounting_legacy,Accounting (Legacy),,,2016,released,adventure,PC,steamdb,steam:518580,https://steamcdn-a.akamaihd.net/steam/apps/518580/header.jpg,Publisher: Crows Crows Crows | Tags: Adventure; Indie; VR; Comedy
steam_228400_ace_combat_assault_horizon_enhanced_edition,Ace Combat Assault Horizon - Enhanced Edition,,,2013,released,action,PC,steamdb,steam:228400,https://steamcdn-a.akamaihd.net/steam/apps/228400/header.jpg,Publisher: BANDAI NAMCO Entertainment | Tags: Action; Simulation; Flight; Military
steam_502500_ace_combattm_7_skies_unknown,ACE COMBAT™ 7: SKIES UNKNOWN,,,2019,released,action,PC,steamdb,steam:502500,https://steamcdn-a.akamaihd.net/steam/apps/502500/header.jpg,Publisher: BANDAI NAMCO Entertainment
