review_priority,review_lane,group_key,candidate_count,known_year_count,release_years,source_types,recommended_winner_game_id,recommended_winner_title,candidate_game_ids,review_instruction
20,preserve_edition_review,brokenagethecompleteadventure,2,1,2015,finder,broken_age_the_complete_adventure,Broken Age: The Complete Adventure,broken_age_the_complete_adventure|wiki_broken_age_the_complete_adventure,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,burgertimedeluxe,2,2,1991|2011,finder,wiki_burgertime_deluxe,BurgerTime Deluxe,wiki_burgertime_deluxe|rawg_burger_time_deluxe,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,darksoulsremastered,3,1,2018,finder,dark_souls_remastered,DARK SOULS™: REMASTERED,dark_souls_remastered|rawg_dark_souls_remastered|steam_570940_dark_soulstm_remastered,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,dayofthetentacleremastered,2,1,2016,finder,day_of_the_tentacle_remastered,Day of the Tentacle Remastered,day_of_the_tentacle_remastered|steam_388210_day_of_the_tentacle_remastered,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,deusexhumanrevolutiondirectorscut,2,1,2013,finder,steam_238010_deus_ex_human_revolution_director_s_cut,Deus Ex: Human Revolution - Director's Cut,steam_238010_deus_ex_human_revolution_director_s_cut|rawg_deus_ex_human_revolution_director_s_cut,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,devilmaycry4specialedition,2,1,2015,finder,rawg_devil_may_cry_4_special_edition,Devil May Cry 4: Special Edition,rawg_devil_may_cry_4_special_edition|steam_329050_devil_may_cry_4_special_edition,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,discoelysiumthefinalcut,2,1,2021,finder,disco_elysium_the_final_cut,Disco Elysium - The Final Cut,disco_elysium_the_final_cut|wiki_disco_elysium_the_final_cut,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,divinityoriginalsin2definitiveedition,2,2,2017|2018,finder,rawg_divinity_original_sin_2_definitive_edition,Divinity: Original Sin 2 - Definitive Edition,rawg_divinity_original_sin_2_definitive_edition|steam_435150_divinity_original_sin_2_definitive_edition,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,divinityoriginalsinenhancededition,2,1,2015,finder,rawg_divinity_original_sin_enhanced_edition,Divinity: Original Sin - Enhanced Edition,rawg_divinity_original_sin_enhanced_edition|steam_373420_divinity_original_sin_enhanced_edition,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,dragonquestiiihd2dremake,3,2,2024|2025,finder,dragon_quest_iii_hd_2d_remake,DRAGON QUEST III HD-2D Remake,dragon_quest_iii_hd_2d_remake|wiki_dragon_quest_iii_hd_2d_remake|wiki_dragon_quest_i_ii_hd_2d_remake,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,ducktalesremastered,2,1,2013,finder,rawg_ducktales_remastered,DuckTales: Remastered,rawg_ducktales_remastered|steam_237630_ducktales_remastered,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,fahrenheitindigoprophecyremastered,2,1,2015,finder,rawg_fahrenheit_indigo_prophecy_remastered,Fahrenheit: Indigo Prophecy Remastered,rawg_fahrenheit_indigo_prophecy_remastered|steam_312840_fahrenheit_indigo_prophecy_remastered,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,fallout3gameoftheyearedition,2,1,2009,finder,rawg_fallout_3_game_of_the_year_edition,Fallout 3: Game of the Year Edition,rawg_fallout_3_game_of_the_year_edition|steam_22370_fallout_3_game_of_the_year_edition,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,finalfantasyxx2hdremaster,3,2,2013|2016,finder,final_fantasy_x_x_2_hd_remaster,FINAL FANTASY X/X-2 HD Remaster,final_fantasy_x_x_2_hd_remaster|rawg_final_fantasy_x_x_2_hd_remaster|steam_359870_final_fantasy_x_x_2_hd_remaster,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,fullthrottleremastered,2,1,2017,finder,rawg_full_throttle_remastered,Full Throttle Remastered,rawg_full_throttle_remastered|steam_228360_full_throttle_remastered,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,ghostoftsushimadirectorscut,2,1,2021,finder,ghost_of_tsushima_director_s_cut,Ghost of Tsushima Director's Cut,ghost_of_tsushima_director_s_cut|rawg_ghost_of_tsushima_director_s_cut,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,gravityrushremastered,2,1,2015,finder,gravity_rush_remastered,Gravity Rush Remastered,gravity_rush_remastered|wiki_gravity_rush_remastered,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,grimfandangoremastered,2,1,2015,finder,rawg_grim_fandango_remastered,Grim Fandango Remastered,rawg_grim_fandango_remastered|steam_316790_grim_fandango_remastered,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,heroesofmightmagiciiihdedition,2,1,2015,finder,rawg_heroes_of_might_magic_iii_hd_edition,Heroes of Might & Magic III - HD Edition,rawg_heroes_of_might_magic_iii_hd_edition|steam_297000_heroes_of_might_and_magic_iii_hd_edition,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,kamihd,2,1,2017,finder,kami_hd,Ōkami HD,kami_hd|wiki_kami_hd,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,kinironocorda3fullvoicespecial,2,2,2013|2018,finder,rawg_kiniro_no_corda_3_full_voice_special,Kiniro no Corda 3: Full Voice Special,rawg_kiniro_no_corda_3_full_voice_special|wiki_kin_iro_no_corda_3_full_voice_special,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,mariokart8deluxe,2,1,2017,finder,mario_kart_8_deluxe,Mario Kart 8 Deluxe,mario_kart_8_deluxe|rawg_mario_kart_8_deluxe,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,marvelsspidermanremastered,2,1,2020,finder,marvel_s_spider_man_remastered,Marvel's Spider-Man: Remastered,marvel_s_spider_man_remastered|rawg_marvel_s_spider_man_remastered,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,metalgearsolidmastercollectionvol1,2,1,2023,finder,metal_gear_solid_master_collection_vol_1,Metal Gear Solid: Master Collection Vol. 1,metal_gear_solid_master_collection_vol_1|wiki_metal_gear_solid_master_collection_vol_1,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,metroidprimetrilogy,2,1,2009,finder,metroid_prime_trilogy,Metroid Prime: Trilogy,metroid_prime_trilogy|rawg_metroid_prime_trilogy,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,monkeyisland2specialeditionlechucksrevenge,2,1,2010,finder,rawg_monkey_island_2_special_edition_lechuck_s_revenge,Monkey Island 2 Special Edition: LeChuck’s Revenge,rawg_monkey_island_2_special_edition_lechuck_s_revenge|steam_32460_monkey_islandtm_2_special_edition_lechuck_s_revengetm,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,oriandtheblindforestdefinitiveedition,2,1,2016,finder,rawg_ori_and_the_blind_forest_definitive_edition,Ori and the Blind Forest: Definitive Edition,rawg_ori_and_the_blind_forest_definitive_edition|steam_387290_ori_and_the_blind_forest_definitive_edition,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,phoenixwrightaceattorneytrilogy,2,1,2013,finder,phoenix_wright_ace_attorney_trilogy,Phoenix Wright: Ace Attorney Trilogy,phoenix_wright_ace_attorney_trilogy|rawg_phoenix_wright_ace_attorney_trilogy,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,planescapetormentenhancededition,2,1,2017,finder,rawg_planescape_torment_enhanced_edition,Planescape: Torment: Enhanced Edition,rawg_planescape_torment_enhanced_edition|steam_466300_planescape_torment_enhanced_edition,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,plantsvszombiesgotyedition,2,2,2009|2010,finder,rawg_plants_vs_zombies_goty_edition,Plants vs. Zombies GOTY Edition,rawg_plants_vs_zombies_goty_edition|steam_3590_plants_vs_zombies_goty_edition,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
20,preserve_edition_review,rockboshersdxdirectorscut,2,1,2014,finder,rawg_rock_boshers_dx_directors_cut,Rock Boshers DX: Directors Cut,rawg_rock_boshers_dx_directors_cut|wiki_rock_boshers_dx_director_s_cut,Preserve by default. Only approve a merge if the rows are proven source duplicates of the same playable edition.
